 Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Dr Reddys Laboratories","https://scanx.trade/company/dr-reddys-laboratories-ltd","1,163.50","-0.27%","1,170.00","13,18,443","97,109.24","16.98","17.88","1,379.70","1,020.00","-8.97%","-9.24%","-10.66%","33.72%","14.50%","2.70","0.69%","19.74%","21.88%","333.59","1,246.58","1,247.02","23.20","78.00%","91.00%"
"Lodha Developers","https://scanx.trade/company/macrotech-developers-ltd","971.40","-0.81%","976.70","7,71,092","97,014.16","29.29","-2.17","1,531.00","971.80","-10.90%","-18.07%","-19.64%","73.16%","317.57%","4.68","0.43%","8.86%","18.64%","19.37","1,113.59","1,242.34","27.53","72.22%","85.39%"
"Marico","https://scanx.trade/company/marico-ltd","745.30","-0.57%","748.05","6,58,083","96,746.47","57.62","9.62","780.00","577.85","0.55%","2.47%","13.36%","47.53%","78.79%","24.13","1.39%","36.03%","36.91%","11.73","740.41","719.90","49.57","78.00%","87.50%"
"Persistent Systems","https://scanx.trade/company/persistent-systems-ltd","6,115.00","-3.59%","6,330.00","15,42,699","96,464.13","60.09","32.67","6,599.00","4,148.95","-3.82%","4.62%","0.40%","182.87%","648.70%","14.00","0.55%","22.06%","28.61%","76.02","6,302.94","5,676.41","50.90","75.19%","86.89%"
"Max Healthcare Institute","https://scanx.trade/company/max-healthcare-institute-ltd","988.30","-0.46%","985.00","13,04,886","96,138.80","71.15","-66.76","1,314.30","940.05","-8.13%","-18.30%","-7.19%","125.43%","508.18%","9.61","0.15%","14.89%","11.73%","10.84","1,082.99","1,155.57","31.08","70.00%","87.31%"
"United Spirits","https://scanx.trade/company/united-spirits-ltd","1,299.10","-1.48%","1,285.00","13,75,234","94,490.15","58.58","34.49","1,645.00","1,271.10","-7.65%","-4.87%","-10.89%","58.05%","109.57%","11.41","0.91%","19.77%","26.08%","19.42","1,410.80","1,412.70","33.48","76.00%","87.50%"
"Mazagon Dock Shipbuilders","https://scanx.trade/company/mazagon-dock-shipbuilders-ltd","2,320.10","-0.52%","2,333.00","7,55,541","93,588.19","40.33","35.87","3,775.00","1,918.05","-3.66%","-18.24%","-4.85%","504.67%","2,041.30%","10.57","0.74%","21.98%","34.51%","96.04","2,567.66","2,853.74","30.66","66.44%","81.71%"
"REC","https://scanx.trade/company/rural-electrification-corporation-ltd","354.00","-1.37%","357.15","68,35,389","93,216.13","5.47","-180.99","495.60","330.95","4.36%","-5.52%","-27.87%","185.25%","223.29%","1.13","5.02%","20.40%","9.48%","55.59","357.62","383.99","46.25","72.32%","86.23%"
"ICICI Prudential Life Insurance","https://scanx.trade/company/icici-prudential-life-insurance-ltd","642.95","-1.36%","645.65","4,25,203","93,072.23","68.88","-1.73","706.80","525.80","-1.15%","7.74%","0.26%","36.59%","24.78%","7.03","0.13%","7.73%","0.44%","6.03","643.30","621.63","44.67","76.00%","80.00%"
"Hindustan Petroleum","https://scanx.trade/company/hindustan-petroleum-ltd","434.60","-0.91%","440.00","17,20,256","92,475.17","6.70","10.47","508.45","287.55","-7.48%","-4.05%","20.60%","165.11%","182.15%","1.64","2.40%","34.13%","12.56%","46.45","466.52","426.39","37.77","74.69%","87.06%"
"Indian Hotels Company","https://scanx.trade/company/indian-hotels-company-ltd","646.00","0.08%","645.00","29,15,975","91,953.72","49.82","228.00","858.00","641.35","-11.65%","-13.06%","-18.54%","118.58%","435.30%","7.94","0.35%","11.86%","17.74%","9.03","721.20","752.34","24.72","76.00%","87.50%"
"ICICI Lombard General Insurance","https://scanx.trade/company/icici-lombard-general-insurance-ltd","1,825.40","-1.95%","1,856.00","7,37,294","90,905.80","33.87","-1.73","2,068.70","1,613.70","-6.60%","-9.23%","-5.06%","58.25%","22.11%","5.61","0.67%","15.72%","-8.50%","42.73","1,964.43","1,923.05","35.08","78.00%","87.50%"
"Aditya Birla Capital","https://scanx.trade/company/aditya-birla-capital-ltd","346.55","-2.48%","354.60","28,67,394","90,697.16","27.83","-1.73","369.30","149.01","-0.62%","13.49%","94.33%","138.02%","281.87%","2.89","-","12.01%","9.58%","13.24","349.16","281.13","51.49","76.00%","87.50%"
"Dabur India","https://scanx.trade/company/dabur-india-ltd","510.15","1.00%","501.10","15,69,178","90,484.80","50.30","88.96","577.00","433.30","3.28%","1.11%","-2.20%","-9.87%","-5.11%","8.17","1.58%","17.58%","20.32%","10.60","509.84","502.38","44.62","78.00%","87.50%"
"Swiggy","https://scanx.trade/company/swiggy-ltd","325.05","-0.32%","325.75","67,31,258","89,723.99","-21.60","35.87","483.75","297.00","-21.14%","-22.96%","-32.17%","-28.72%","-28.72%","4.54","-","-","-25.96%","-","386.02","385.24","20.81","65.00%","85.24%"
"CG Power & Industrial Solutions","https://scanx.trade/company/cg-power-and-industrial-solutions-ltd","569.65","-0.71%","573.50","21,87,331","89,711.76","85.01","1.88","797.55","517.70","-15.18%","-23.04%","-16.72%","82.14%","1,220.16%","12.11","0.22%","28.86%","31.58%","5.88","663.96","683.24","29.98","74.12%","86.98%"
"Bharat Heavy Electricals","https://scanx.trade/company/bhel-bharat-heavy-electricals-ltd","253.95","1.52%","249.95","80,61,512","88,427.00","106.84","1.88","305.90","176.00","-7.91%","8.64%","17.07%","214.29%","527.04%","3.57","0.20%","1.15%","3.75%","0.29","280.91","249.20","31.35","72.83%","84.60%"
"Zydus Life Science","https://scanx.trade/company/cadila-healthcare-ltd","878.55","0.59%","868.00","4,33,563","88,402.69","17.47","17.88","1,059.05","795.00","-4.46%","-12.35%","-11.75%","100.49%","80.70%","3.47","1.26%","17.34%","21.99%","41.43","921.00","948.69","34.17","76.00%","87.50%"
"Mankind Pharma","https://scanx.trade/company/mankind-pharma-ltd","2,098.10","-1.23%","2,124.30","1,46,411","86,610.63","49.43","17.88","2,754.70","2,087.00","-3.41%","-14.54%","-22.43%","47.51%","47.51%","5.74","-","20.28%","13.33%","48.99","2,205.19","2,409.64","40.97","75.00%","87.50%"
"Info Edge","https://scanx.trade/company/naukri-info-edge-ltd","1,295.90","-0.67%","1,290.00","8,60,927","84,028.83","51.23","35.87","1,637.00","1,157.00","-3.35%","-1.19%","-16.61%","76.53%","25.34%","1.75","0.46%","1.88%","4.80%","53.82","1,347.43","1,385.84","41.83","75.95%","87.50%"
"JSW Energy","https://scanx.trade/company/jsw-energy-ltd","477.10","-0.42%","479.50","8,79,011","83,386.03","37.56","12.18","582.00","418.75","-0.24%","-9.16%","-17.63%","81.86%","516.81%","2.88","0.42%","8.21%","5.73%","11.18","490.26","509.71","42.57","72.61%","86.02%"
"Havells","https://scanx.trade/company/havells-india-ltd","1,305.40","-3.04%","1,340.00","11,86,652","81,882.11","56.86","1.88","1,712.85","1,337.20","-7.87%","-12.12%","-18.47%","13.16%","27.96%","9.72","0.74%","17.06%","22.51%","22.20","1,433.96","1,512.69","32.66","78.00%","87.50%"
"SRF","https://scanx.trade/company/srf-ltd","2,724.90","-5.49%","2,802.60","12,90,841","80,772.80","47.87","196.80","3,325.00","2,487.00","-11.82%","-14.31%","4.32%","29.44%","132.26%","6.42","0.25%","11.64%","12.90%","41.45","2,959.78","2,988.74","33.95","76.00%","87.50%"
"One 97 Communications","https://scanx.trade/company/paytm-ltd","1,242.20","-4.21%","1,294.00","33,95,911","79,443.57","-136.07","35.87","1,381.80","651.50","-7.02%","-4.85%","38.24%","125.51%","-20.41%","5.40","-","-13.67%","-4.12%","-","1,308.30","1,109.90","47.54","68.53%","82.81%"
"NHPC","https://scanx.trade/company/nhpc-ltd","76.73","-1.08%","77.00","92,69,478","77,075.55","21.68","12.18","92.34","71.00","0.16%","-11.36%","-4.04%","80.12%","211.91%","1.89","2.46%","8.28%","6.14%","3.60","79.03","83.49","38.92","75.25%","87.50%"
